=== KẾT QUẢ ĐÁNH GIÁ HỆ THỐNG (Minutiae + KD-Tree) ===
Tổng số ảnh đánh giá: 150
Top-1 Accuracy : 0.0267
Top-5 Accuracy : 0.0667
Macro Precision: 0.4000
Macro Recall   : 0.0267
Tổng thời gian : 5683.7s
TB mỗi query   : 37891.2ms

=== CHI TIẾT ===
File: 1__M_Left_index_finger_CR.BMP | True ID: 1 | Top 1: 288 | Top 5: [288, 105, 358, 234, 245] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Right_thumb_finger_CR.BMP | True ID: 1 | Top 1: 180 | Top 5: [180, 101, 125, 144, 178] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Right_thumb_finger_Obl.BMP | True ID: 1 | Top 1: 16 | Top 5: [16, 324, 315, 191, 227] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Right_thumb_finger_Zcut.BMP | True ID: 1 | Top 1: 101 | Top 5: [101, 101, 101, 101, 113] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Left_index_finger_CR.BMP | True ID: 2 | Top 1: 2 | Top 5: [2, 19, 190, 235, 248] | Top-1 Đúng: True | Top-5 Đúng: True
File: 2__F_Left_index_finger_Obl.BMP | True ID: 2 | Top 1: 240 | Top 5: [240, 368, 106, 222, 173] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Left_index_finger_Zcut.BMP | True ID: 2 | Top 1: 2 | Top 5: [2, 19, 14, 275, 367] | Top-1 Đúng: True | Top-5 Đúng: True
File: 2__F_Left_little_finger_CR.BMP | True ID: 2 | Top 1: 246 | Top 5: [246, 262, 279, 300, 352] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Left_little_finger_Obl.BMP | True ID: 2 | Top 1: 284 | Top 5: [284, 314, 332, 275, 182] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Left_little_finger_Zcut.BMP | True ID: 2 | Top 1: 101 | Top 5: [101, 114, 117, 120, 122] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Left_middle_finger_CR.BMP | True ID: 2 | Top 1: 235 | Top 5: [235, 247, 146, 357, 377] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Left_middle_finger_Obl.BMP | True ID: 2 | Top 1: 20 | Top 5: [20, 321, 235, 247, 331] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Left_middle_finger_Zcut.BMP | True ID: 2 | Top 1: 247 | Top 5: [247, 18, 235, 146, 234] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Left_ring_finger_CR.BMP | True ID: 2 | Top 1: 268 | Top 5: [268, 273, 315, 315, 330] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Left_ring_finger_Obl.BMP | True ID: 2 | Top 1: 166 | Top 5: [166, 228, 274, 357, 134] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Left_ring_finger_Zcut.BMP | True ID: 2 | Top 1: 31 | Top 5: [31, 371, 197, 262, 321] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Left_thumb_finger_CR.BMP | True ID: 2 | Top 1: 102 | Top 5: [102, 238, 125, 146, 222] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Left_thumb_finger_Obl.BMP | True ID: 2 | Top 1: 219 | Top 5: [219, 269, 295, 326, 138] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Left_thumb_finger_Zcut.BMP | True ID: 2 | Top 1: 207 | Top 5: [207, 2, 100, 125, 17] | Top-1 Đúng: False | Top-5 Đúng: True
File: 2__F_Right_index_finger_CR.BMP | True ID: 2 | Top 1: 240 | Top 5: [240, 162, 311, 158, 118] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Right_index_finger_Obl.BMP | True ID: 2 | Top 1: 271 | Top 5: [271, 358, 122, 163, 274] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Right_index_finger_Zcut.BMP | True ID: 2 | Top 1: 141 | Top 5: [141, 358, 158, 31, 118] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Right_little_finger_CR.BMP | True ID: 2 | Top 1: 15 | Top 5: [15, 196, 208, 24, 255] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Right_little_finger_Obl.BMP | True ID: 2 | Top 1: 245 | Top 5: [245, 224, 107, 166, 170] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Right_little_finger_Zcut.BMP | True ID: 2 | Top 1: 114 | Top 5: [114, 163, 185, 239, 24] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Right_middle_finger_CR.BMP | True ID: 2 | Top 1: 105 | Top 5: [105, 264, 121, 168, 179] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Right_middle_finger_Obl.BMP | True ID: 2 | Top 1: 219 | Top 5: [219, 221, 127, 203, 244] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Right_middle_finger_Zcut.BMP | True ID: 2 | Top 1: 168 | Top 5: [168, 103, 106, 240, 264] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Right_ring_finger_CR.BMP | True ID: 2 | Top 1: 271 | Top 5: [271, 285, 328, 134, 140] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Right_ring_finger_Obl.BMP | True ID: 2 | Top 1: 151 | Top 5: [151, 255, 339, 343, 227] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Right_ring_finger_Zcut.BMP | True ID: 2 | Top 1: 289 | Top 5: [289, 328, 134, 101, 119] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Right_thumb_finger_CR.BMP | True ID: 2 | Top 1: 15 | Top 5: [15, 171, 121, 127, 138] | Top-1 Đúng: False | Top-5 Đúng: False
File: 2__F_Right_thumb_finger_Obl.BMP | True ID: 2 | Top 1: 233 | Top 5: [233, 285, 2, 1, 192] | Top-1 Đúng: False | Top-5 Đúng: True
File: 2__F_Right_thumb_finger_Zcut.BMP | True ID: 2 | Top 1: 267 | Top 5: [267, 358, 150, 107, 125] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_index_finger_CR.BMP | True ID: 3 | Top 1: 249 | Top 5: [249, 202, 23, 350, 14] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_index_finger_Obl.BMP | True ID: 3 | Top 1: 101 | Top 5: [101, 114, 117, 120, 122] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_index_finger_Zcut.BMP | True ID: 3 | Top 1: 10 | Top 5: [10, 144, 15, 150, 178] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_little_finger_CR.BMP | True ID: 3 | Top 1: 300 | Top 5: [300, 302, 352, 214, 128] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_little_finger_Obl.BMP | True ID: 3 | Top 1: 273 | Top 5: [273, 101, 101, 101, 101] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_little_finger_Zcut.BMP | True ID: 3 | Top 1: 336 | Top 5: [336, 114, 124, 141, 18] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_middle_finger_CR.BMP | True ID: 3 | Top 1: 10 | Top 5: [10, 111, 364, 117, 15] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_middle_finger_Obl.BMP | True ID: 3 | Top 1: 117 | Top 5: [117, 15, 16, 174, 211] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_middle_finger_Zcut.BMP | True ID: 3 | Top 1: 3 | Top 5: [3, 240, 181, 220, 228] | Top-1 Đúng: True | Top-5 Đúng: True
File: 3__M_Left_ring_finger_CR.BMP | True ID: 3 | Top 1: 177 | Top 5: [177, 105, 125, 204, 209] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_ring_finger_Obl.BMP | True ID: 3 | Top 1: 207 | Top 5: [207, 233, 302, 342, 178] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_ring_finger_Zcut.BMP | True ID: 3 | Top 1: 16 | Top 5: [16, 168, 277, 209, 324] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_thumb_finger_CR.BMP | True ID: 3 | Top 1: 144 | Top 5: [144, 178, 233, 246, 285] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_thumb_finger_Obl.BMP | True ID: 3 | Top 1: 144 | Top 5: [144, 248, 257, 123, 127] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Left_thumb_finger_Zcut.BMP | True ID: 3 | Top 1: 163 | Top 5: [163, 218, 358, 191, 3] | Top-1 Đúng: False | Top-5 Đúng: True
File: 3__M_Right_index_finger_CR.BMP | True ID: 3 | Top 1: 182 | Top 5: [182, 106, 152, 220, 222] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Right_index_finger_Obl.BMP | True ID: 3 | Top 1: 101 | Top 5: [101, 114, 117, 120, 122] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Right_index_finger_Zcut.BMP | True ID: 3 | Top 1: 210 | Top 5: [210, 301, 367, 231, 265] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Right_little_finger_CR.BMP | True ID: 3 | Top 1: 224 | Top 5: [224, 130, 147, 320, 334] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Right_little_finger_Obl.BMP | True ID: 3 | Top 1: 309 | Top 5: [309, 114, 154, 207, 301] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Right_little_finger_Zcut.BMP | True ID: 3 | Top 1: 10 | Top 5: [10, 288, 32, 348, 364] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Right_middle_finger_CR.BMP | True ID: 3 | Top 1: 37 | Top 5: [37, 371, 121, 148, 153] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Right_middle_finger_Obl.BMP | True ID: 3 | Top 1: 103 | Top 5: [103, 139, 171, 238, 27] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Right_middle_finger_Zcut.BMP | True ID: 3 | Top 1: 170 | Top 5: [170, 300, 106, 112, 127] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Right_ring_finger_CR.BMP | True ID: 3 | Top 1: 212 | Top 5: [212, 3, 211, 237, 357] | Top-1 Đúng: False | Top-5 Đúng: True
File: 3__M_Right_ring_finger_Obl.BMP | True ID: 3 | Top 1: 137 | Top 5: [137, 243, 32, 122, 29] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Right_ring_finger_Zcut.BMP | True ID: 3 | Top 1: 3 | Top 5: [3, 3, 276, 282, 310] | Top-1 Đúng: True | Top-5 Đúng: True
File: 3__M_Right_thumb_finger_CR.BMP | True ID: 3 | Top 1: 131 | Top 5: [131, 371, 105, 146, 160] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Right_thumb_finger_Obl.BMP | True ID: 3 | Top 1: 105 | Top 5: [105, 157, 23, 230, 238] | Top-1 Đúng: False | Top-5 Đúng: False
File: 3__M_Right_thumb_finger_Zcut.BMP | True ID: 3 | Top 1: 236 | Top 5: [236, 118, 128, 149, 240] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_index_finger_CR.BMP | True ID: 4 | Top 1: 193 | Top 5: [193, 237, 271, 343, 141] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_index_finger_Obl.BMP | True ID: 4 | Top 1: 101 | Top 5: [101, 101, 101, 101, 113] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_index_finger_Zcut.BMP | True ID: 4 | Top 1: 172 | Top 5: [172, 223, 253, 336, 26] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_little_finger_CR.BMP | True ID: 4 | Top 1: 125 | Top 5: [125, 164, 166, 171, 23] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_little_finger_Obl.BMP | True ID: 4 | Top 1: 25 | Top 5: [25, 300, 127, 119, 22] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_little_finger_Zcut.BMP | True ID: 4 | Top 1: 200 | Top 5: [200, 202, 173, 116, 250] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_middle_finger_CR.BMP | True ID: 4 | Top 1: 218 | Top 5: [218, 331, 204, 206, 286] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_middle_finger_Obl.BMP | True ID: 4 | Top 1: 25 | Top 5: [25, 368, 326, 168, 326] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_middle_finger_Zcut.BMP | True ID: 4 | Top 1: 100 | Top 5: [100, 173, 125, 133, 144] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_ring_finger_CR.BMP | True ID: 4 | Top 1: 25 | Top 5: [25, 144, 153, 178, 344] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_ring_finger_Obl.BMP | True ID: 4 | Top 1: 348 | Top 5: [348, 124, 182, 232, 319] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_ring_finger_Zcut.BMP | True ID: 4 | Top 1: 269 | Top 5: [269, 109, 140, 158, 371] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_thumb_finger_CR.BMP | True ID: 4 | Top 1: 138 | Top 5: [138, 14, 237, 248, 265] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_thumb_finger_Obl.BMP | True ID: 4 | Top 1: 245 | Top 5: [245, 139, 24, 250, 316] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Left_thumb_finger_Zcut.BMP | True ID: 4 | Top 1: 372 | Top 5: [372, 182, 350, 130, 14] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_index_finger_CR.BMP | True ID: 4 | Top 1: 129 | Top 5: [129, 111, 114, 163, 185] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_index_finger_Obl.BMP | True ID: 4 | Top 1: 156 | Top 5: [156, 324, 134, 328, 310] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_index_finger_Zcut.BMP | True ID: 4 | Top 1: 156 | Top 5: [156, 306, 309, 15, 237] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_little_finger_CR.BMP | True ID: 4 | Top 1: 104 | Top 5: [104, 112, 120, 164, 210] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_little_finger_Obl.BMP | True ID: 4 | Top 1: 121 | Top 5: [121, 225, 131, 222, 25] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_little_finger_Zcut.BMP | True ID: 4 | Top 1: 321 | Top 5: [321, 18, 232, 350, 112] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_middle_finger_CR.BMP | True ID: 4 | Top 1: 101 | Top 5: [101, 101, 101, 101, 113] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_middle_finger_Obl.BMP | True ID: 4 | Top 1: 144 | Top 5: [144, 148, 295, 351, 24] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_middle_finger_Zcut.BMP | True ID: 4 | Top 1: 163 | Top 5: [163, 300, 290, 176, 188] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_ring_finger_CR.BMP | True ID: 4 | Top 1: 111 | Top 5: [111, 324, 129, 151, 304] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_ring_finger_Obl.BMP | True ID: 4 | Top 1: 212 | Top 5: [212, 218, 311, 343, 211] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_ring_finger_Zcut.BMP | True ID: 4 | Top 1: 114 | Top 5: [114, 163, 185, 239, 24] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_thumb_finger_CR.BMP | True ID: 4 | Top 1: 131 | Top 5: [131, 274, 151, 122, 235] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_thumb_finger_Obl.BMP | True ID: 4 | Top 1: 101 | Top 5: [101, 114, 117, 120, 122] | Top-1 Đúng: False | Top-5 Đúng: False
File: 4__M_Right_thumb_finger_Zcut.BMP | True ID: 4 | Top 1: 360 | Top 5: [360, 146, 341, 348, 298] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_index_finger_CR.BMP | True ID: 5 | Top 1: 12 | Top 5: [12, 125, 147, 153, 176] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_index_finger_Obl.BMP | True ID: 5 | Top 1: 235 | Top 5: [235, 240, 134, 179, 199] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_index_finger_Zcut.BMP | True ID: 5 | Top 1: 356 | Top 5: [356, 119, 236, 331, 262] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_little_finger_CR.BMP | True ID: 5 | Top 1: 263 | Top 5: [263, 288, 106, 109, 137] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_little_finger_Obl.BMP | True ID: 5 | Top 1: 110 | Top 5: [110, 290, 147, 181, 225] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_little_finger_Zcut.BMP | True ID: 5 | Top 1: 114 | Top 5: [114, 146, 24, 242, 316] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_middle_finger_CR.BMP | True ID: 5 | Top 1: 216 | Top 5: [216, 350, 265, 16, 199] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_middle_finger_Obl.BMP | True ID: 5 | Top 1: 132 | Top 5: [132, 165, 167, 17, 191] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_middle_finger_Zcut.BMP | True ID: 5 | Top 1: 357 | Top 5: [357, 16, 27, 277, 31] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_ring_finger_CR.BMP | True ID: 5 | Top 1: 21 | Top 5: [21, 309, 178, 224, 142] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_ring_finger_Obl.BMP | True ID: 5 | Top 1: 206 | Top 5: [206, 34, 182, 194, 206] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_ring_finger_Zcut.BMP | True ID: 5 | Top 1: 220 | Top 5: [220, 232, 29, 352, 358] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_thumb_finger_CR.BMP | True ID: 5 | Top 1: 198 | Top 5: [198, 277, 288, 292, 298] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_thumb_finger_Obl.BMP | True ID: 5 | Top 1: 261 | Top 5: [261, 187, 140, 163, 305] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Left_thumb_finger_Zcut.BMP | True ID: 5 | Top 1: 253 | Top 5: [253, 291, 190, 17, 187] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_index_finger_CR.BMP | True ID: 5 | Top 1: 140 | Top 5: [140, 16, 244, 26, 302] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_index_finger_Obl.BMP | True ID: 5 | Top 1: 108 | Top 5: [108, 188, 323, 114, 15] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_index_finger_Zcut.BMP | True ID: 5 | Top 1: 15 | Top 5: [15, 154, 237, 255, 31] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_little_finger_CR.BMP | True ID: 5 | Top 1: 32 | Top 5: [32, 225, 250, 305, 280] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_little_finger_Obl.BMP | True ID: 5 | Top 1: 318 | Top 5: [318, 101, 101, 101, 101] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_little_finger_Zcut.BMP | True ID: 5 | Top 1: 280 | Top 5: [280, 137, 275, 235, 269] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_middle_finger_CR.BMP | True ID: 5 | Top 1: 205 | Top 5: [205, 245, 279, 309, 33] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_middle_finger_Obl.BMP | True ID: 5 | Top 1: 151 | Top 5: [151, 238, 11, 162, 355] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_middle_finger_Zcut.BMP | True ID: 5 | Top 1: 236 | Top 5: [236, 353, 118, 162, 219] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_ring_finger_CR.BMP | True ID: 5 | Top 1: 333 | Top 5: [333, 357, 119, 26, 33] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_ring_finger_Obl.BMP | True ID: 5 | Top 1: 170 | Top 5: [170, 206, 228, 267, 358] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_ring_finger_Zcut.BMP | True ID: 5 | Top 1: 238 | Top 5: [238, 368, 126, 153, 186] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_thumb_finger_CR.BMP | True ID: 5 | Top 1: 108 | Top 5: [108, 176, 219, 138, 164] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_thumb_finger_Obl.BMP | True ID: 5 | Top 1: 12 | Top 5: [12, 132, 160, 236, 286] | Top-1 Đúng: False | Top-5 Đúng: False
File: 5__M_Right_thumb_finger_Zcut.BMP | True ID: 5 | Top 1: 119 | Top 5: [119, 236, 286, 142, 228] | Top-1 Đúng: False | Top-5 Đúng: False
